"filename", "language", "TypeScript", "Markdown", "JSON", "XML", "JavaScript", "JSON with Comments", "Docker", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ProfileDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 126, 0, 1, 16, 143
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\RoleBasedLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 1, 7, 42
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\StatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\TodaysAttendance.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 5, 13, 80
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\data-table-column-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 6, 5, 68
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\data-table-column-visibility.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 4, 58
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\tabel-supervisor\AttendanceTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 229, 0, 1, 26, 256
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\tabel-supervisor\columns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 353, 0, 16, 24, 393
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\tabel-supervisor\data-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 165, 0, 8, 12, 185
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\today-intern-status\columns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 2, 2, 83
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\today-intern-status\data-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 160, 0, 9, 12, 181
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\today-intern-status\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 2, 4, 31
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 15, 158
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 1, 7, 55
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 7, 55
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 6, 60
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 11, 214
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 10, 93
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\date-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 8, 104
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 14, 144
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 19, 258
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 2, 9, 58
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 25, 168
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 12, 169
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 14, 186
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 14, 140
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 660, 0, 17, 55, 732
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\success.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 2, 9, 61
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 12, 117
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 8, 62
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\const\index.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 163
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 16, 0, 0, 14, 13, 43
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\dump\auth\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 22, 80
